LF_hip_tau_ff,LF_thigh_tau_ff,LF_calf_tau_ff,RF_hip_tau_ff,RF_thigh_tau_ff,RF_calf_tau_ff,LR_hip_tau_ff,LR_thigh_tau_ff,LR_calf_tau_ff,RR_hip_tau_ff,RR_thigh_tau_ff,RR_calf_tau_ff,LF_hip_tau_actual,LF_thigh_tau_actual,LF_calf_tau_actual,RF_hip_tau_actual,RF_thigh_tau_actual,RF_calf_tau_actual,LR_hip_tau_actual,LR_thigh_tau_actual,LR_calf_tau_actual,RR_hip_tau_actual,RR_thigh_tau_actual,RR_calf_tau_actual,LF_hip_q_des,LF_thigh_q_des,LF_calf_q_des,RF_hip_q_des,RF_thigh_q_des,RF_calf_q_des,LR_hip_q_des,LR_thigh_q_des,LR_calf_q_des,RR_hip_q_des,RR_thigh_q_des,RR_calf_q_des,LF_hip_q,LF_thigh_q,LF_calf_q,RF_hip_q,RF_thigh_q,RF_calf_q,LR_hip_q,LR_thigh_q,LR_calf_q,RR_hip_q,RR_thigh_q,RR_calf_q,LF_hip_qd_des,LF_thigh_qd_des,LF_calf_qd_des,RF_hip_qd_des,RF_thigh_qd_des,RF_calf_qd_des,LR_hip_qd_des,LR_thigh_qd_des,LR_calf_qd_des,RR_hip_qd_des,RR_thigh_qd_des,RR_calf_qd_des,LF_hip_qd,LF_thigh_qd,LF_calf_qd,RF_hip_qd,RF_thigh_qd,RF_calf_qd,LR_hip_qd,LR_thigh_qd,LR_calf_qd,RR_hip_qd,RR_thigh_qd,RR_calf_qd
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113983,-1.29079,1.59541,-0.00390553,-1.31893,1.62354,-0.111824,-1.39446,1.40948,0.182431,-1.447,1.46845,0.503288,-1.11778,2.73159,-0.502237,-1.11848,2.73225,0.524937,-1.10197,2.71745,-0.523791,-1.10281,2.71819,0,0,0,0,0,0,0,0,0,0,0,0,0.0893711,0.0644775,-0.0570931,-0.0945357,0.0585938,-0.0589844,0.0321256,0.0240421,-0.0213866,-0.0343741,0.0257963,-0.0228671
0,0,0,0,0,0,0,0,0,0,0,0,-0.268113,-0.193433,0.171279,0.283607,-0.175781,0.176953,-0.0963769,-0.0721263,0.0641597,0.103122,-0.0773888,0.0686013,-0.0113983,-1.29079,1.59541,-0.00390553,-1.31893,1.62354,-0.111824,-1.39446,1.40948,0.182431,-1.447,1.46845,0.503459,-1.11766,2.73148,-0.502417,-1.11837,2.73214,0.524999,-1.10192,2.71741,-0.523857,-1.10276,2.71815,0,0,0,0,0,0,0,0,0,0,0,0,0.0853508,0.0604948,-0.0547481,-0.0899744,0.0561516,-0.0565676,0.0309815,0.0233348,-0.020687,-0.0331537,0.0250712,-0.0221297
0,0,0,0,0,0,0,0,0,0,0,0,-0.230172,-0.157456,0.0457465,0.126901,-0.220382,0.0849713,-0.0622709,-0.212661,-0.0173798,-0.00838514,-0.138235,0.04925,-0.0138636,-1.28873,1.58924,-0.00385916,-1.31789,1.62038,-0.114243,-1.39445,1.40425,0.181368,-1.44845,1.46701,0.508372,-1.11466,2.72855,-0.509216,-1.1156,2.72965,0.527956,-1.10128,2.71528,-0.527036,-1.10276,2.71777,0,0,0,0,0,0,0,0,0,0,0,0,0.0729134,0.0513694,-0.0199176,-0.0392409,0.0704202,-0.0347883,0.0208156,0.0629822,0.00473722,0.00349643,0.0450387,-0.0195166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.032767,-0.79176,1.65738,-0.0323577,-0.791895,1.65642,0.0454487,-0.788153,1.67622,-0.0450633,-0.788337,1.67524,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136606,-0.0605936,0.162414,0.0132507,-0.0603,0.161518,-0.0142858,-0.0742709,0.192025,0.014077,-0.0740828,0.191319
0,0,0,0,0,0,0,0,0,0,0,0,-0.481268,-1.1715,-10.426,0.449521,-0.530995,-10.4756,-3.48809,1.81051,-11.7294,3.29279,2.45941,-10.2526,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0327652,-0.791683,1.65747,-0.0323869,-0.791811,1.65651,0.045427,-0.78799,1.67621,-0.0450672,-0.788183,1.67525,0,0,0,0,0,0,0,0,0,0,0,0,-0.000904596,0.0388814,0.0436133,-0.0146026,0.0419108,0.0432292,-0.0108489,0.0811978,-0.00897762,-0.00195467,0.0767568,0.00482488
0,0,0,0,0,0,0,0,0,0,0,0,-1.14803,-3.68524,-5.17629,1.22844,-3.36471,-4.95419,-2.7486,-4.90018,-10.0849,2.93822,-4.45443,-11.1393,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0328214,-0.79171,1.65759,-0.0323514,-0.791809,1.6566,0.0454708,-0.78796,1.67625,-0.0450376,-0.788116,1.67525,0,0,0,0,0,0,0,0,0,0,0,0,0.0280984,-0.0138581,0.0609286,0.0177676,0.000678447,0.0452752,0.0219196,0.0149494,0.0217189,0.0148053,0.0334961,-0.000607027
0,0,0,0,0,0,0,0,0,0,0,0,-1.14803,-3.68524,-5.17629,1.22844,-3.36471,-4.95419,-2.7486,-4.90018,-10.0849,2.93822,-4.45443,-11.1393,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0328214,-0.79171,1.65759,-0.0323514,-0.791809,1.6566,0.0454708,-0.78796,1.67625,-0.0450376,-0.788116,1.67525,0,0,0,0,0,0,0,0,0,0,0,0,0.0280984,-0.0138581,0.0609286,0.0177676,0.000678447,0.0452752,0.0219196,0.0149494,0.0217189,0.0148053,0.0334961,-0.000607027
0,0,0,0,0,0,0,0,0,0,0,0,-1.16422,-3.65803,-5.1886,1.21119,-3.34414,-4.95792,-2.7663,-4.86795,-10.1016,2.92895,-4.43481,-11.1365,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0329304,-0.791832,1.65774,-0.0322577,-0.791881,1.65669,0.0455724,-0.788053,1.67635,-0.0449763,-0.788132,1.67524,0,0,0,0,0,0,0,0,0,0,0,0,0.0545127,-0.0609095,0.073771,0.0468261,-0.0358437,0.0441686,0.0507573,-0.0462189,0.0519813,0.0306619,-0.00762566,-0.00161705
0,0,0,0,0,0,0,0,0,0,0,0,-1.1807,-3.63085,-5.19945,1.19385,-3.32373,-4.96002,-2.78376,-4.8346,-10.1198,2.91919,-4.41379,-11.1359,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.033087,-0.792038,1.65791,-0.0321123,-0.792018,1.65677,0.0457242,-0.788259,1.67652,-0.0448858,-0.788225,1.67525,0,0,0,0,0,0,0,0,0,0,0,0,0.0782968,-0.103128,0.0827951,0.0726818,-0.0684936,0.0406166,0.0759197,-0.102954,0.0814624,0.0452478,-0.0469229,0.000947883
0,0,0,0,0,0,0,0,0,0,0,0,-1.19729,-3.60356,-5.20893,1.17656,-3.30329,-4.96068,-2.8009,-4.80005,-10.1395,2.90918,-4.39132,-11.1373,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0332859,-0.792321,1.65808,-0.0319215,-0.792214,1.65684,0.0459195,-0.78857,1.67674,-0.0447692,-0.788395,1.67526,0,0,0,0,0,0,0,0,0,0,0,0,0.0994381,-0.141237,0.0886232,0.0954417,-0.0979701,0.0352643,0.0976319,-0.155765,0.10989,0.0582982,-0.0845976,0.00633184
